abbyylang,code,isoname
Abazin,,
Abkhaz,,
Adyghe,ady,Adyghe
Afrikaans,afr,Afrikaans
Agul,,
Albanian,sqi,Albanian
Altaic,,
ArabicAlgeria,,
ArabicBahrain,,
ArabicEgypt,,
ArabicIraq,,
ArabicJordan,,
ArabicKuwait,,
ArabicLebanon,,
ArabicLibya,,
ArabicMorocco,,
ArabicOman,,
ArabicQatar,,
ArabicSaudiArabia,,
ArabicSyria,,
ArabicTunisia,,
ArabicUAE,,
ArabicYemen,,
ArmenianEastern,,
ArmenianGrabar,,
ArmenianWestern,,
Assamese,asm,Assamese
Awar,aya,Awar
Aymara,aym,Aymara
AzeriCyrillic,,
AzeriLatin,,
Bashkir,bak,Bashkir
Basque,eus,Basque
Belarusian,bel,Belarusian
Bemba,,
Blackfoot,,
Breton,bre,Breton
Bugotu,,
Bulgarian,bul,Bulgarian
Burmese,mya,Burmese
Buryat,,
Byelorussian,,
Catalan,cat,Catalan
Chamorro,cha,Chamorro
Chechen,che,Chechen
Chinese,zho,Chinese
ChineseHongKong,zho,Chinese
ChineseMacau,zho,Chinese
ChinesePRC,zho,Chinese
ChineseSingapore,zho,Chinese
ChineseTaiwan,zho,Chinese
Chuana,,
Chukcha,,
Chuvash,chv,Chuvash
Corsican,cos,Corsican
CrimeanTatar,,
Croatian,hrv,Croatian
Crow,cro,Crow
Czech,ces,Czech
Dakota,dak,Dakota
Danish,dan,Danish
Dargin,,
Dargwa,dar,Dargwa
Dungan,dng,Dungan
Dutch,nld,Dutch
DutchBelgian,nld,Dutch
DutchStandard,nld,Dutch
EnglishAustralian,eng,English
EnglishBelize,,
EnglishCanadian,eng,English
EnglishCaribbean,,
EnglishIreland,eng,English
EnglishJamaica,,
EnglishLaw,,
EnglishMedical,,
EnglishNewZealand,,
EnglishPhilippines,,
EnglishProperNames,,
EnglishSouthAfrica,,
EnglishTrinidad,,
EnglishUnitedKingdom,eng,English
EnglishUnitedStates,eng,English
EnglishZimbabwe,,
English,eng,English
EskimoCyrillic,,
EskimoLatin,,
Esperanto,epo,Esperanto
Estonian,est,Estonian
Even,eve,Even
Evenki,evn,Evenki
Faeroese,,
Faroese,fao,Faroese
Farsi,,
Fijian,fij,Fijian
Finnish,fin,Finnish
Flemish,nld,Dutch
French,fra,French
FrenchBelgian,fra,French
FrenchCanadian,fra,French
FrenchLuxembourg,,
FrenchMonaco,,
FrenchProperNames,,
FrenchStandard,fra,French
FrenchSwiss,,
Frisian,fry,Western Frisian
Frisian_Legacy,,
Friulian,fur,Friulian
Gaelic,gla,Scottish Gaelic
GaelicScottish,gla,Scottish Gaelic
Gaelic_Legacy,,
Gagauz,gag,Gagauz
Galician,glg,Galician
Galician_Legacy,,
Ganda,lug,Ganda
GermanAustrian,,
GermanLaw,,
GermanLiechtenstein,,
GermanLuxembourg,,
GermanMedical,,
GermanNewSpelling,,
GermanNewSpellingLaw,,
GermanNewSpellingMedical,,
GermanNewSpellingProperNames,,
GermanProperNames,,
GermanStandard,deu,German
GermanSwiss,,
GreekKathareusa,,
Greenlandic,kal,Kalaallisut
Guarani,grn,Guarani
Guarani_Legacy,,
Hani,hni,Hani
Hausa,hau,Hausa
Hausa_Legacy,,
Hawaiian,haw,Hawaiian
Hawaiian_Legacy,,
Hindi,hin,Hindi
Hungarian,hun,Hungarian
Icelandic,isl,Icelandic
Ido,ido,Ido
Indonesian,ind,Indonesian
Ingush,inh,Ingush
Interlingua,,
Irish,gle,Irish
Irish_Legacy,,
Italian,ita,Italian
ItalianProperNames,,
ItalianStandard,ita,Italian
ItalianSwiss,,
Japanese,jpn,Japanese
Kabardian,kbd,Kabardian
